
央视频道,#genre#
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•47『线路1』
CCTV1综合,http://221.13.235.183:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•47『线路2』
CCTV1综合,http://182.114.50.229:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•47『线路3』
CCTV1综合,http://101.74.28.102:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•47『线路4』
CCTV1综合,http://124.228.160.14:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•47『线路5』
CCTV1综合,http://101.66.198.244:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•47『线路6』
CCTV1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4•47『线路7』
CCTV1综合,http://play.kankanlive.com/live/1661761962676984.m3u8$LR•IPV4•47『线路8』
CCTV1综合,http://112.123.206.32:808/hls/1/index.m3u8$LR•IPV4•47『线路9』
CCTV1综合,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$LR•IPV4•47『线路10』
CCTV1综合,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4•47『线路11』
CCTV1综合,http://ygbh.site/php/bfgd.php?id=484$LR•IPV4•47『线路12』
CCTV1综合,http://ygbh.site/php/bfgd.php?id=201$LR•IPV4•47『线路13』
CCTV1综合,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•47『线路14』
CCTV1综合,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•47『线路15』
CCTV1综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$LR•IPV4•47『线路16』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•47『线路17』
CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344$LR•IPV4•47『线路18』
CCTV1综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1$LR•IPV4•47『线路19』
CCTV1综合,http://fm1077.serv00.net/Smart.php?id=cctv1$LR•IPV4•47『线路20』
CCTV1综合,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$LR•IPV6•47『线路21』
CCTV1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$LR•IPV6•47『线路22』
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•47『线路23』
CCTV1综合,http://101.35.240.114:88/live.php?id=CCTV1$LR•IPV4•47『线路24』
CCTV1综合,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8$LR•IPV4•47『线路25』
CCTV1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4•47『线路26』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•47『线路27』
CCTV1综合,http://ygbh.site/php/bfgd.php?id=488$LR•IPV4•47『线路28』
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•47『线路29』
CCTV1综合,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV4•47『线路30』
CCTV1综合,https://live.chinacert.cftest5.cn/mg/?id=608807420$LR•IPV4•47『线路31』
CCTV1综合,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8$LR•IPV4•47『线路32』
CCTV1综合,http://148.135.93.213:81/live.php?id=CCTV1$LR•IPV4•47『线路33』
CCTV1综合,http://ygbh.site/php/bfgd.php?id=484$LR•IPV4•47『线路34』
CCTV1综合,http://ygbh.site/php/bfgd.php?id=201$LR•IPV4•47『线路35』
CCTV1综合,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•47『线路36』
CCTV1综合,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•47『线路37』
CCTV1综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$LR•IPV4•47『线路38』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•47『线路39』
CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344$LR•IPV4•47『线路40』
CCTV1综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1$LR•IPV4•47『线路41』
CCTV1综合,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$LR•IPV6•47『线路42』
CCTV1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$LR•IPV6•47『线路43』
